Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Ondrej Rigo;12/17/1955;Germany, Slovakia;1990-1992;9;9;1955;1990;35;He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia.;Necrophiliac;Slovakia Gypsy;Power;Power/Control;Male;Adult;Mixed;None
Genzo Kurita;11.03.1926;Japan;1948-1952;8;8;1926;1948;22;In 1948, Kurita murdered three victims, one was pregnant, he committed acts of necrophilia on her body. In 1951, Kurita threw three children off a cliff, the children of a woman he had murdered, one child survived the fall. In 1959, Genzo Kurita was execu;Necrophiliac, Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Child;Female;None
John Christie;4/8/1899;United Kingdom;1943-1953;8;8;1899;1943;44;He had a speech defect, and was impotent.;Rapist, Necrophiliac, Strangler, Sexual Predator;The Rillington Place Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Eric Edgar Cooke;2/25/1931;Austrailia;1959-1963;8;8;1931;1959;28;He was known to kill at the home of the victim. He positioned or posed at least one body after death. At the time of his crimes he was living with his wife and seven children, where Cooke was known to work as a serial killer.;Rapist, Necrophiliac, Strangler, Sexual Predator;The Night Caller;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Yoshio Kodaira;8/20/1946;Japan;1928-1946;8;11;1946;1928;-18;Kodaira killed his father-in-law in 1932 and eight to ten women in Japan between 1945 and 1946. In the 1920s, Kodaira was deployed to Northern China as a sailor in the Imperial Japanese Navy to participated in the Jinan incident.;Rapist, Necrophiliac, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Anatoly Slivko;12/28/1985;Russia;1961-1985;7;7;1985;1961;-24;Slivko was a member of the Young Pioneers (Soviet Boy Scouts), he gained the trust of forty-three young boys over almost three decades, asphyxiated them until they fell unconscious, ritually molested, filmed, photographed and resuscitated them. The seven ;Financial Motive, Rapist, Necrophiliac, Strangler, Pedophile, Sexual Predator;;Financial Gain, Sexual Assault;Hedonistic;Male;Child;Male;None
Doug Clark;03.10.1948;United States;1980;6;6;1948;1980;32;His father, Franklin Clark, a Naval Intelligence officer.;Necrophiliac, Rapist, Sexual Predator;One of Sunset Strip Killers;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Carol M. Bundy;8/26/1942;United States;1980;2;6;1942;1980;38;Carol M. Bundy an American serial killer. Bundy and Doug Clark became collectively known as the Sunset Strip Killers after being convicted of a series of murders in Los Angeles during the late spring and early summer of 1980. The victims were young sex wo;Unknown;One of Sunset Strip Killers;Power;Power/Control;Male;Adult;Mixed;None
Wolfgang Schmidt;10.05.1966;Germany;1989-1991;6;6;1966;1989;23;Schmidt legally changed his name to Beate Schmidt in 2001. In 2009, Schmidt underwent a hormone treatment for gender reassignment and is now a trans woman. He was arrested after two joggers found Schmidt masturbating in the woods while wearing a bra. In 1;Rapist, Necrophiliac, Strangler, Sexual Predator;Beast of Beelitz, the Pink Giant Beate Schmidt;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Rory Enrique Conde;6/14/1965;United States;1994-1995;6;6;1965;1994;29;"Conde killed six prostitutes in Florida, he strangled his victims to death and would have anal sex with the corpses afterward. After killing his third victim Conde left a note reading: ""Third, I will call Dwight Channel 10, see if you can catch me"". ";Rapist, Necrophiliac, Torturer, Strangler, Sexual Predator;The Tamiami Trail Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Richard Trenton Chase;5/23/1950;United States;1977;6;6;1950;1977;27;He was convicted of six murders performed in the span of a month after being released of a psychiatric hospital where he had been committed for killing and eating the raw meat of several animals. In addition to killing his victims, he often raped the wome;Cannibal, Sexual Predator, Vampire, Rapist, Cannibal, Necrophiliac;Vampire of Sacramento;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Ladislav Hojer;3/15/1958;Czech Republic;1978-1981;5;7;1958;1978;20;He cut off the breasts, vulva and genitalia of one of his victims. Hojer later committed acts of necrophilia on the genitalia before cooking the victims body parts in salt water and committed acts of cannibalism on them. In 1982, Hojer was arrested after ;Cannibal, Rapist, Necrophiliac, Strangler, Cannibal, Sexual Predator;Cowardly Cannibal;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Cory Deonn Morris;05.10.1978;United States;2002-2003;5;6;1978;2002;24;Morris was convicted of luring five women to a camper, strangling them during sex and dumping their bodies. Morris is reported to have kept the victims body for some time, committing act of necrophilia on the lifeless bodies.;Rapist, Necrophiliac, Strangler, Sexual Predator;Huggy Bear, Teddy Bear, Crackhead Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Bernard Giles;04.09.1953;United States;1973;5;5;1953;1973;20;Bernard Giles was sentenced to life in prison in 1977. In 2019, Giles was interviewed by Piers Morgan as part of a documentary series on ITV called Confessions Of A Serial Killer With Piers Morgan.;Rapist, Necrophiliac, Strangler, Pedophile, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Anatoly Biryukov;2/18/1944;Russia;1977;5;5;1944;1977;33;Biryukov was convicted for kidnapping, raping and subsequent murder of five infants from Moscow in the fall of 1977. Biryukov abducted his victims and committed violent sexual intercourse with the infants before murdering and discarding the body. Biryukov;Rapist, Necrophiliac, Pedophile, Sexual Predator;The Baby Hunter;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Danny Rolling;5/26/1954;United States;1989-1990;5;8;1954;1989;35;In 1990, Rolling attempted to kill his father during a family argument in which his father lost an eye and an ear. He was executed by lethal injection in 2006. Shortly before his execution, he gave a handwritten confession to authorities for the triple ho;Hate Crime, Rapist, Necrophiliac, Sexual Predator;Gainesville Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;Elderly
Tsutomu Miyazaki;8/21/1962;Japan;1988-1989;4;4;1962;1988;26;Miyazaki murdered four girls aged between four and seven. He mutilated and sexually molested the corpse of at least one of his victims. He drank the blood of at least one victim and ate her hands. A premature birth left him with deformed hands, which were;Cannibal, Rapist, Vampire, Cannibal, Necrophiliac, Strangler, Sexual Predator;The Otaku Murderer, The Little Girl Murderer;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Thor Nis Christiansen;12/28/1957;United States;1976-1979;4;4;1957;1976;19;Christiansen shot and committed acts of necrophilia on four young women in Isla Vista, California between 1976 and 1979. In 1979, An additional intended victim escaped with a bullet in her head, and later identified him in a Los Angeles bar which led to h;Rapist, Necrophiliac, Sexual Predator;The Hitchhiker Slayer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Lam Kor-wan;3/22/1955;Hong Kong;1980;4;4;1955;1980;25;Lam worked as a taxi driver, he would pick up female passengers, strangle them with electrical wire and take them to his family home to dismember them. Lam Kor-wan was known to commit act of necrophilia with some of the bodies and he kept body parts in hi;Rapist, Necrophiliac, Strangler, Sexual Predator;The Jars Murderer, The Rainy Night Butcher;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Peter Woodcock;03.05.1939;Canada;1956-1991;4;4;1939;1956;17;"Woodcock was a sexual sadist who killed three young children in Toronto in the 1950s. He was sentenced to a psychiatric facility, where he murdered a fellow inmate while on unsupervised release in 1991. Once captured Woodcock stated ""My fear was that Moth";Rapist, Necrophiliac, Strangler, Pedophile, Sexual Predator;David Michael Krueger;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Wayne Adam Ford;12.03.1961;United States;1997-1998;4;4;1961;1997;36;Ford was arrested when he walked into the Humboldt County Sheriff Department in Eureka, California in 1998 with a woman's severed breast. He confessed to murdering four women and is believed to have killed others.;Rapist, Necrophiliac, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Tony Costa;08.02.1944;United States;1968-1969;4;7;1944;1968;24;Costa committed suicide by hanging himself in his cell at Massachusetts Correctional Institution in South Walpole, Massachusetts.;Rapist, Necrophiliac, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Bakhtiyor Matyakubov;;Uzbekistan;2015;3;11;;2015;;Evidence against Matyakubov includes CCTV footage of him brutal killing a sex shop saleswoman at the Dzhaga-Dzhaga sex shop in Russia, the victim was stabbed twenty times during the attack. Matyakubov is later due to be extradited to his native Uzbekistan;Financial Motive, Rapist, Necrophiliac, Sexual Predator;;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Female;None
Anthony Hardy;5/31/1951;United Kingdom;2000-2002;3;9;1951;2000;49;He was diagnosed with a personality disorder and preventively detained in a mental institution until November 2002. In 2002 the dismembered remains of two women were found in trash bins. While arresting Hardy, an officer was stabbed in the hand and had hi;Rapist, Necrophiliac, Strangler, Sexual Predator;The Camden Ripper;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Michael Madison;10/15/1977;United States;2012-2013;3;3;1977;2012;35;In 2016, Michael Madison was sentenced to death, at his sentencing he was attacked by the father of one of his victims.;Rapist, Necrophiliac, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Jack Spillman;8/30/1969;United States;1994-1995;3;3;1969;1994;25;"According to court documents, ""Spillman would declare to Miller (his cellmate) that he wanted to be the world??¬Ä¬ôs greatest serial killer.""";Rapist, Necrophiliac, Torturer, Sexual Predator;The Werewolf Butcher;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Dean Corll;12/24/1939;United States;1970-1973;28;29;1939;1970;31;Corll along with two teenaged accomplices named David Owen Brooks and Elmer Wayne Henley, abducted, raped tortured and murdered at least twenty-eight young men between 1970 and 1973 in Houston, Texas. The crimes are known as the Houston Mass Murders. Corl;Rapist, Torturer, Strangler, Sexual Predator;Candy Man, Pied Piper;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Elmer Wayne Henley;05.09.1956;United States;1972-1973;6;6;1956;1972;16;An American serial killer who was a participant in a series of murders known as the Houston Mass Murders in which a minimum of 28 teenage boys and young men were abducted, tortured raped and murdered by Dean Corll between 1970 and 1973.;Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Lydia Sherman;12/24/1825;United States;1863-1871;12;12;1825;1863;38;Sherman poisoned three of her husbands and eight children in her care, six of which were her own and two step-children.;Unknown;The Derby Poisoner;Power;Power/Control;Female;Child;Male;None
Anatoly Utkin;01.01.1943;Russia;1968-1973;9;9;1943;1968;25;He killed eight girls and one man from 1968 to 1973. He was known to rape at least one of his victims. He had other charges including theft and robbery. He was found guilty on all counts and sentenced to death by firing squad.;Rapist, Sexual Predator;Ulyanovsky maniac;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Kiyoshi Okubo;1/17/1935;Japan;1971;8;8;1935;1971;36;Okubo raped and murdered eight women aged 16 to 21 in 1971. He was recently released from prison for previous rape charges. A brother of one of his victims located and turned Okubo's whereabouts to the police, his arrest followed. Kiyoshi Okubo was senten;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
John Edward Robinson;12/27/1943;United States;1984-2000;8;8;1943;1984;41;Robinson lured his victims through the internet via BDSM online chat rooms. In 1969, Robinson was arrested for the first time in Kansas City after embezzling money from a medical practice. From 1970 to 1979 he had several other charges including embezzlem;Financial Motive, Medical, Rapist, Torturer, Sexual Predator;The Slavemaster;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Female;None
Christopher Peterson;1/20/1969;United States;1990;7;7;1969;1990;21;Later changed name Obadyah Ben-Yisrayl, confessed to shooting seven people with a shotgun in a killing spree spanning from October 30, 1990 to December 18, 1990 in Indiana. Sentenced to death, commuted to life.;Unknown;The Shotgun Killer;Power;Power/Control;Male;Adult;Mixed;None
Rhonda Belle Martin;01.01.1907;United States;1937-1951;6;6;1907;1937;30;Serial killer and poisoner who murdered six family members in Alabama. Martin was executed in Alabama's electric chair on October 11, 1957 at Kilby Prison in Montgomery, Alabama.;Unknown;;Power;Power/Control;Female;Adult;Mixed;None
Aleksandr Rubel;12/25/1980;Estonia;1997-1998;6;7;1980;1997;17;He was intoxicated on gasoline vapour during his murders, one of which his father was an accomplice. All six victims were stabbed, one was strangled one stoned and another hit with an axe. Rubel was taken in to custody as a juvenile on June 8th 1998, sent;Strangler;Benzomaniac;Under the Influence;Hedonistic;Male;Adult;Male;None
Ian Brady;01.02.1938;United Kingdom;1963-1965;5;5;1938;1963;25;He, along with his girlfriend, Myra Hindley, are known for committing the Moors murders. The Moors murders were carried out in England between 1963 and 1965. Five children were abducted and at least four were sexually assaulted. The victims were male and ;Rapist, Torturer, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Female;None
Myra Hindley;7/23/1942;United Kingdom;1963-1965;5;5;1942;1963;21;She, along with her boyfriend, Ian Brady, are known for committing the Moors murders. The Moors murders were carried out in England between 1963 and 1965. Five children were abducted and at least four were sexually assaulted. The victims were male and fem;Rapist, Torturer, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Child;Female;None
Cynthia Coffman;1/19/1962;United States;1986;5;5;1962;1986;24;Cynthia Coffman girlfriend of James Gregory Marlow an American serial killer known as The Folsom Wolf. Coffman has a tattoo that reads, Property of the Folsom Wolf. They targeted female victims who had just withdrawn cash from ATM machines. They strangled;Sexual Predator, Strangler;Property of the Folsom Wolf;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Ray Copeland;12/30/1914;United States;1986-1989;5;12;1914;1986;72;Ray Copeland is an American serial killer who with his wife Faye Copeland became the oldest couple ever sentenced to death in the United States. They were convicted of killing five drifters at their farm in Mooresville, Missouri.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Faye Copeland;08.04.1921;United States;1986-1989;5;12;1921;1986;65;Faye Copeland (born Faye Della Wilson) is an American serial killer who with her husband Ray Copeland became the oldest couple ever sentenced to death in the United States. They were convicted of killing five drifters at their farm in Mooresville, Missour;Unknown;;Power;Power/Control;Female;Adult;Mixed;None
Claude Lastennet;1/19/1971;France;1993-1994;5;5;1971;1993;22;Lastennet was convicted of murdering five old women between August 1993 and January 1994.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Phillip Carl Jablonski;01.03.1946;United States;1978-1991;5;5;1946;1978;32;;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Janie Lou Gibbs;12/25/1932;United States;1966-1967;5;5;1932;1966;34;Gibbs killed five of her family members. Gibbs killed her three sons, a grandson and her husband, by poisoning them with arsenic between 1966 and 1967 in Cordele, Georgia. She was sentenced to five life terms in prison. She was released from prison in 199;Unknown;The Georgian Black Widow, the Black Georgia Peach;Power;Power/Control;Female;Adult;Mixed;None
Vincent Johnson;01.06.1969;United States;1999-2000;5;6;1969;1999;30;His victims were strangled and at least three were sexually assaulted by Johnson. He was described by police as a homeless panhandler and crack addict. His DNA was found on four of the victims, which lead to his arrest for the murders. Johnson confessed t;Rapists, Strangler, Sexual Predator;The Brooklyn Strangler, The Williamsburg Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Hiroaki Hidaka;01.01.1962;Japan;1996;4;4;1962;1996;34;Taxi driver who strangled four prostitutes to death in 1996. He buried the remains in the mountains near Hiroshima, Japan. One of his victims was a 16-year-old girl.;Hate Crime, Strangler;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Wayne Boden;01.01.1948;Canada;1968-1971;4;4;1948;1968;20;Boden killed four women between 1968 and 1971 in Montreal and Calgary, Canada. He would rape and strangle his victims. He was known to bite the breasts of at least three of his victims. Boden was the first murderer to be convicted in North America based o;Rapist, Strangler, Vampire, Sexual Predator;The Vampire Rapist;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
James Vlassakis;12/24/1979;Austrailia;1997-1999;4;4;1979;1997;18;The Snowtown murders (also known as the bodies-in-barrels murders) were a series of murders committed by Vlassakis, Bunting, and Robert Joe Wagner between 1992 and 1999.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Buddy Earl Justus;12/25/1952;United States;1978;3;4;1952;1978;26;In 1978, Justus raped and murdered an eight and a half month pregnant nurse by shooting her three times in the head. In 1978, Justus and a hitchhiker named Dale Dean Goins, kidnapped raped and murdered two victims before dumping the bodies.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Female;Adult;Mixed;None
Patrick McCullough;1/20/1960;United States;1980-2001;3;3;1960;1980;20;;Unknown;The Deaf Serial Killer;Power;Power/Control;Male;Adult;Mixed;None
Jose Rodriguez;1/19/1972;United States;2018;3;3;1972;2018;46;;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Israel Keyes;01.07.1978;United States;1998-2012;3;11;1978;1998;20;An FBI report said Keyes burglarized twenty to thirty homes and robbed several banks between 2001 and 2012. He may be linked to as many as eleven deaths. Keyes planned murders long ahead of time, usually killed far from home, and never in the same area tw;Rapist, Strangler, Sexual Predator;Izzy;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Ozgur Dengiz;01.01.1984;Turkey;2007;3;3;1984;2007;23;Interned in a mental institution after his conviction to two life sentences was overturned.;Cannibal;The Cannibal of Ankara;Cannibalism;Hedonistic;Male;Adult;Male;None
George Joseph Smith;1/11/1872;United Kingdom;1912-1914;3;3;1872;1912;40;"Known for ""The Brides in the Bath Murders"".";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Altemio Sanchez;1/19/1958;United States;1981-2006;3;3;1958;1981;23;He would beat and raped his victims before using a ligature, wire, or garrote, to strangle and suffocate victims.;Rapist, Strangler, Sexual Predator;Bike Path Rapist, Bike Path Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Michael Bruce Ross;7/26/1959;United States;1981-1984;8;8;1959;1981;22;;Rapist, Strangler, Torturer, Stalker, Sexual Predator;The Roadside Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Marie Noe;8/23/1928;United States;1949-1968;8;8;1928;1949;21;She who murdered eight of her children between 1949 and 1968.;Unknown;;Power;Power/Control;Female;Child;Mixed;None
Kendall Francois;7/27/1971;United States;1996-1998;8;9;1971;1996;25;Francois confessed to killing eight prostitutes in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute. In 1995, Francois tested positive for HIV. He hid the bodies of his victims in the house that he shared with hi;Rapist, Strangler, Stalker, Sexual Predator;The Poughkeepsie Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Walter E. Ellis;7/24/1960;United States;1986-2007;7;20;1960;1986;26;Ellis was convicted of killing seven prostitutes in Wisconsin between 1986 and 2007. His victims were all African-American women. In 2011, investigators stated they were reviewing the cases of another twenty strangled prostitutes Elis could be connected t;Rapist, Strangler, Sexual Predator;The Milwaukee North Side Strangler;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Paul Durousseau;08.11.1970;United States;1997-2004;7;9;1970;1997;27;Durousseau murdered seven young women, including two who were pregnant, in the southeastern United States. He would gain entrance to the victim's home, bound, rape and strangle the victims to death.;Financial Motive, Rapist, Strangler, Sexual Predator;The Jacksonville Strangler;Financial Gain, Sexual Assault;Hedonistic;Male;Adult;Female;None
David Alan Gore;8/21/1953;United States;1981-1983;6;6;1953;1981;28;Gore had an accomplice, his cousin Fred Waterfield, and the pair were dubbed the Killing Cousins. David Alan Gore was executed by lethal injection at 6:19 p.m. on Thursday, April 12, 2012, having exhausted all legal appeals.;Rapist, Torturer, Strangler, Stalker, Sexual Predator;One of the The Killing Cousins;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Fred Waterfield;9/29/1952;United States;1981-1983;6;6;1952;1981;29;Fred Waterfield (Frederick Levin Waterfield) an American serial killer known as The Killing Cousins. The Killing Cousins confessed to, and was convicted of, six murders in Vero Beach and Indian River County, Florida in the 1980s. Waterfield had an accompl;Rapist, Torturer, Strangler, Stalker, Sexual Predator;One of the The Killing Cousins;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Cleophus Prince;7/24/1967;United States;1990;6;6;1967;1990;23;He would break into homes to rape stab and murder his victims, he stole the wedding rings of some of his victims. In 1991, Prince's license plate number was taken down by a potential victims neighbor which led to his arrest, he was released on bail. In 19;Rapist, Stalker, Sexual Predator;The Clairemont Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Lemuel Smith;7/23/1941;United States;1958-1981;6;6;1941;1958;17;Lemuel Smith Confessed to the murders of five people, including an on-duty female prison guard. Sentenced to death on June 10, 1983. Conmmuted to life in 1984.;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Nathaniel White;7/28/1960;United States;1991-1992;6;6;1960;1991;31;White was convicted of beating and stabbing to death six women in the Hudson Valley region of New York. White claims to have been inspired by the 1990 movie RoboCop 2, basing his first murder after a scene from the movie.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
John George Haigh;7/24/1909;United Kingdom;1944-1949;6;9;1909;1944;35;Known as the Acid Bath Murderer for dissolving his victims in sulphuric acid under the belief that he could not be prosecuted for murder if no body was found. He would then forge papers to sell the victims possessions. Confessed nine murders, convicted of;Vampire;Acid Bath Murderer;Religious;Visionary;Male;Adult;Mixed;None
Willem van Eijk;8/13/1941;Netherlands;1971-2001;5;8;1941;1971;30;He was an outcast from early elementary school, being publicly bullied and showing several acts of animal cruelty.;Rapist, Strangler, Sexual Predator;The Beast of Harkstede, Gekke Willempje;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Shawn Grate;08.08.1976;United States;2005-2016;4;5;1976;2005;29;He was arrested after a victim who was kidnapped and raped multiple times escaped and called 911. Grate wrote two letters to a news station in Cleveland, Ohio confessing to the murders of all five victims.;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Thomas Huskey;8/20/1960;United States;1991-1992;4;4;1960;1991;31;Huskey confessed and had souvenirs from the women's bodies found in his bedroom. He was charged with four murders which were formally dropped due to a mistrial. Huskey is a former elephant trainer who got his nickname from prostitutes who said he took the;Rapist, Sexual Predator;Zoo Man;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Fritz Honka;7/31/1935;Germany;1971-1974;4;4;1935;1971;36;Honka murdered four women working as prostitutes in Hamburg and kept the bodies in his apartment. Honka sawed the corpses into pieces, wrapped them in plastic and hid pieces in various places around Ottensen including his own attic. In 1975, the apartment;Strangler;Peter Jensen;Femicide;Power and Hedonistic;Male;Adult;Female;None
Cary Stayner;8/13/1961;United States;1999;4;4;1961;1999;38;Stayner was frequent at Laguna Del Sol, a nudist colony in Sacramento County. He was arrested at Laguna Del Sol in 1999 after witnesses identified his vehicle to authorities.;Rapist, Strangler, Stalker, Sexual Predator;The Yosemite Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Robert Rozier;7/28/1955;United States;1981-1986;4;7;1955;1981;26;"Rozier was a former American football defensive end who played in the National Football League and Canadian Football League. He was as a member of the Nation of Yahweh, a black supremacist cult. The Yahweh's group required murdering a ""white devil"" and re";Unknown;Neariah Israel, Child of God;Religious;Visionary;Male;Child;Mixed;None
Hiroshi Maeue;08.08.1968;Japan;2005;3;3;1968;2005;37;Maeue found his victims in an online suicide community. He offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Maeue suffered from a ps;Sexual Predator, Strangler;The Suicide Website Murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Yukio Yamaji;8/21/1983;Japan;2000-2005;3;3;1983;2000;17;Murdered his own mother in 2000. Yamaji also murdered a 27-year-old woman and her 19-year-old sister in 2005.;Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Martha Rendell;8/10/1871;Austrailia;1907-1908;3;3;1871;1907;36;Rendell killed three stepchildren between 1907 and 1908. Rendell would kill by swabbing the mouths and throats of the children with hydrochloric acid. One surviving child ran away claiming that his step-mother had killed his siblings and was trying to poi;Unknown;;Power;Power/Control;Male;Child;Mixed;None
Heriberto Seda;7/31/1967;United States;1990-1993;3;3;1967;1990;23;;Stalker;;Power;Power/Control;Male;Adult;Mixed;None
Richard Evonitz;7/29/1963;United States;1996-1997;3;3;1963;1996;33;An abducted 15-year-old girl escaped and was able to identify Evonitz as her attacker. Evonitz fled after finding the victim gone but police were able to locate him near the waterfront in Sarasota, Florida. Richard Evonitz shot himself while surrounded by;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Peter Kudzinowski;8/13/1903;United States;1924-1928;3;4;1903;1924;21;Jones wrote a confession in a letter to his sister between 2006 and 2007, with instructions to open it a year after his execution. In 2008, Stewart died of cancer while still in prison. In 2017, Jack Harold Jones was executed by lethal injection in Arkans;Rapist, Sexual Predator;Ray Rogers, Roy Lambert;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Jack Harold Jones;08.10.1964;United States;1983-1995;2;3;1964;1983;19;;Rapist, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Adam Leroy Lane;07.07.1964;United States;2007;2;3;1964;2007;43;Lane worked as a trucker through the Northeast. In 2007, Lane broke in to a home attacked a 15-year-old girl with a knife, her parents awoke and were able to subdue the Lane.;Unknown;The Highway Killer;Power;Power/Control;Female;Adult;Mixed;None
Hadden Clark;7/31/1952;United States;1986-1992;2;12;1952;1986;34;On October 18, 1992 he killed 23-year-old Laura Houghteling in Bethesda, Maryland. He later returned and dressed up in a wig and women's clothes and left out the front door to make people think Laura left the house alive to buy time to clean the scene. Cl;Cannibal, Cannibal, Torturer;The Cross Dressing Cannibal, The Rockville Rocket;Cannibalism;Hedonistic;Female;Adult;Female;None
Adolfo Costanzo;11.01.1962;United States;1986-1989;16;23;1962;1986;24;Adolfo Constanzo (Adolfo de Jesus Constanzo) Cuban-American serial killer drug dealer, and cult leader of The Narcosatanists (Los Narcosat??¬?nicos). Constanzo sexually assaulted and killed drug dealers and used their body parts for religious sacrifice ce;Sexual Predator, Torturer, Stalker;The Godfather, El Padrino, The Witch Doctor;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Chengyong Gao;11.10.1964;China;1988-2002;11;11;1964;1988;24;Gao's crime spree has been labeled the Silver City serial killing case. Gao raped murdered and mutilated the corpses of his victims. He confessed to murdering eleven women between 1988 and 2002. He committed acts of necrophilia on at least one of his vict;Rapist, Necrophiliac, Sexual Predator;the Chinese Jack the Ripper, the Silver City serial killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Martin Leci??¬?n;10/31/1900;Czech Republic;1927;11;11;1900;1927;27;Martin Leci??¬?n a Czech serial killer who responsible for killing 3 policemen and 1 prison officer. Leci??¬?n was arrested, convicted and executed in 1927.;Unknown;Terror of Moravia, Moravian horror;Power;Power/Control;Male;Adult;Male;None
Debra Brown;11.11.1962;United States;1984;8;8;1962;1984;22;Committed a crime spree across six states in the Midwest where eight people were murdered between May and July 1984. Brown is borderline intellectually disabled, as well as diagnosed with dependent personality disorder. ;Torturer, Stranger;;Power;Power/Control;Female;Adult;Mixed;None
Alton Coleman;11.06.1955;United States;1984;8;8;1955;1984;29;Alton Coleman an American serial killer along with accomplice Debra Brown, who committed a crime spree across six states in the Midwest where eight people were murdered between May and July 1984. Coleman was already awaiting trial on a charge of rape when;Rapist, Torturer, Strangler, Stalker, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
